event_id,frame,type,reactants,products,delta_counts,evidence_bonds,confidence
835,31,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 527, ""j"": 573, ""distance"": 2.9928222496738583, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 239, ""j"": 269, ""distance"": 2.971489828372754, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 493, ""j"": 571, ""distance"": 2.932675164010856, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 149, ""j"": 277, ""distance"": 2.9920184173602062, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 219, ""j"": 555, ""distance"": 2.976796421635666, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
841,33,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 385, ""j"": 529, ""distance"": 2.976865541200623, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 356, ""j"": 523, ""distance"": 2.98325210708488, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 229, ""j"": 265, ""distance"": 2.93579147298182, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 465, ""j"": 545, ""distance"": 2.984839339897048, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 413, ""j"": 557, ""distance"": 2.928216536588958, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
845,34,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 350, ""j"": 515, ""distance"": 2.8808478519303287, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 104, ""j"": 306, ""distance"": 2.981551570602755, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 129, ""j"": 542, ""distance"": 2.9193952014629154, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
849,35,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 59, ""j"": 361, ""distance"": 2.9945887002094405, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 496, ""j"": 572, ""distance"": 2.9696306396889467, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 94, ""j"": 563, ""distance"": 2.9938578641873415, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
852,36,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 324, ""j"": 447, ""distance"": 2.990688389412533, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 363, ""j"": 505, ""distance"": 2.9226452556169527, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
857,37,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 184, ""j"": 564, ""distance"": 2.9019959803190356, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 169, ""j"": 546, ""distance"": 2.972635087831651, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 515, ""j"": 566, ""distance"": 2.960431427671651, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 361, ""j"": 502, ""distance"": 2.934457327136792, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
862,38,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 462, ""j"": 540, ""distance"": 2.9756619542092735, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 347, ""j"": 425, ""distance"": 2.9719968549216507, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 260, ""j"": 403, ""distance"": 2.966387711414637, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 353, ""j"": 453, ""distance"": 2.9960148270821456, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
866,39,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 159, ""j"": 528, ""distance"": 2.929123243177357, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 69, ""j"": 552, ""distance"": 2.9665141044859413, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 283, ""j"": 382, ""distance"": 2.9734110692017572, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
870,40,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 79, ""j"": 554, ""distance"": 2.914895591421758, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 299, ""j"": 468, ""distance"": 2.9582222399518847, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 428, ""j"": 554, ""distance"": 3.1951658396709335, ""threshold_form"": 3.1320000000000006, ""threshold_break"": 3.5960000000000005}]",
873,41,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 245, ""j"": 373, ""distance"": 2.9709990652080633, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 391, ""j"": 531, ""distance"": 2.9946119771995257, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
879,42,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 194, ""j"": 566, ""distance"": 2.976326387511702, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 502, ""j"": 566, ""distance"": 3.162143370427914, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 234, ""j"": 570, ""distance"": 2.9547694101789017, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 154, ""j"": 549, ""distance"": 2.9700666157689097, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 234, ""j"": 361, ""distance"": 3.12108061008432, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
884,43,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 321, ""j"": 435, ""distance"": 2.980011600630252, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 44, ""j"": 367, ""distance"": 2.9674147886404554, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 274, ""j"": 391, ""distance"": 2.9787052413096204, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 109, ""j"": 303, ""distance"": 2.972084127934011, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
886,44,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 164, ""j"": 333, ""distance"": 2.928740266490637, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
889,45,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 139, ""j"": 303, ""distance"": 2.969984644727374, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 283, ""j"": 450, ""distance"": 2.9466454951401557, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
891,46,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 109, ""j"": 556, ""distance"": 2.9807209941688697, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
895,48,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 204, ""j"": 344, ""distance"": 2.9869384143026907, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 54, ""j"": 534, ""distance"": 2.979057632203954, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 274, ""j"": 459, ""distance"": 2.9829465578097496, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
901,49,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 49, ""j"": 267, ""distance"": 2.9433195861663854, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 114, ""j"": 297, ""distance"": 2.9940168838156866, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 114, ""j"": 333, ""distance"": 3.072188424557051, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 456, ""j"": 550, ""distance"": 2.9492807616043843, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 144, ""j"": 531, ""distance"": 2.996952379949045, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
906,50,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 425, ""j"": 553, ""distance"": 2.9892288857012095, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 327, ""j"": 443, ""distance"": 2.951754635167721, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 74, ""j"": 555, ""distance"": 2.928158257897636, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 179, ""j"": 331, ""distance"": 2.9507269807908973, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
908,51,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 292, ""j"": 479, ""distance"": 2.9202197687178466, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
910,52,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 450, ""j"": 548, ""distance"": 3.1916327644002664, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
